Date,Ping,Download-Speed,Upload-Speed
Fri Feb  3 22:00:01  2017,37.129 ,0.61 ,0.00 
Fri Feb  3 22:15:01  2017,32.288 ,0.06 ,0.00 
Fri Feb  3 22:30:01  2017,x,x,x
Fri Feb  3 22:45:02  2017,40.233 ,0.50 ,0.00 
Fri Feb  3 23:00:01  2017,x,x,x
Fri Feb  3 23:15:01  2017,31.962 ,0.12 ,0.00 
Fri Feb  3 23:30:01  2017,38.482 ,0.08 ,1.23 
Fri Feb  3 23:45:01  2017,x,x,x
Sat Feb  4 00:00:01  2017,x,x,x
Sat Feb  4 00:15:01  2017,x,x,x
Sat Feb  4 00:30:01  2017,x,x,x
Sat Feb  4 00:45:01  2017,x,x,x
Sat Feb  4 01:00:01  2017,x,x,x
Sat Feb  4 01:15:01  2017,x,x,x
Sat Feb  4 01:30:01  2017,x,x,x
Sat Feb  4 01:45:01  2017,x,x,x
Sat Feb  4 02:00:01  2017,x,x,x
Sat Feb  4 02:15:01  2017,30.429,0.27 ,0.00 
Sat Feb  4 02:30:01  2017,34.007 ,0.23 ,0.00 
Sat Feb  4 02:45:01  2017,32.277 ,1.21 ,0.04 
Sat Feb  4 03:00:01  2017,x,x,x
Sat Feb  4 03:15:01  2017,x,x,x
Sat Feb  4 03:30:01  2017,x,x,x
Sat Feb  4 03:45:01  2017,x,x,x
Sat Feb  4 04:00:01  2017,x,x,x
Sat Feb  4 04:15:01  2017,31.46,0.60 ,0.00 
Sat Feb  4 04:30:01  2017,x,x,x
Sat Feb  4 04:45:01  2017,x,x,x
Sat Feb  4 05:00:01  2017,x,x,x
Sat Feb  4 05:15:01  2017,x,x,x
Sat Feb  4 05:30:01  2017,x,x,x
Sat Feb  4 05:45:01  2017,37.961,2.19 ,0.00 
Sat Feb  4 06:00:01  2017,x,x,x
Sat Feb  4 06:15:01  2017,x,x,x
Sat Feb  4 06:30:01  2017,34.39 ,0.47,0.00 
Sat Feb  4 06:45:02  2017,x,x,x
Sat Feb  4 07:00:01  2017,x,x,x
Sat Feb  4 07:15:01  2017,39.533 ,1.13 ,0.00 
Sat Feb  4 07:30:01  2017,x,x,x
Sat Feb  4 07:45:01  2017,x,x,x
Sat Feb  4 08:00:01  2017,x,x,x
Sat Feb  4 08:15:01  2017,38.311,7.33 ,0.03 
Sat Feb  4 08:30:01  2017,x,x,x
Sat Feb  4 08:45:01  2017,51.974,0.23 ,0.04 
Sat Feb  4 09:00:01  2017,36.23 ,0.23 ,0.00 
Sat Feb  4 09:15:01  2017,x,x,x
Sat Feb  4 09:30:01  2017,35.426 ,0.29 ,0.00 
Sat Feb  4 09:45:01  2017,x,x,x
Sat Feb  4 10:00:01  2017,x,x,x
Sat Feb  4 10:15:01  2017,x,x,x
Sat Feb  4 10:30:01  2017,x,x,x
Sat Feb  4 10:45:01  2017,x,x,x
Sat Feb  4 11:00:01  2017,x,x,x
Sat Feb  4 11:15:01  2017,x,x,x
Sat Feb  4 11:30:01  2017,x,x,x
Sat Feb  4 11:45:01  2017,49.247,1.21 ,0.00 
Sat Feb  4 12:00:01  2017,x,x,x
Sat Feb  4 12:15:01  2017,34.971, 1.29, 0.00 
Sat Feb  4 12:30:01  2017,x,x,x
Sat Feb  4 12:45:01  2017,x,x,x
Sat Feb  4 13:00:01  2017,x,x,x
Sat Feb  4 13:15:01  2017,52.985 ,0.05 ,0.00 
Sat Feb  4 13:30:01  2017,x,x,x
Sat Feb  4 13:45:01  2017,x,x,x
Sat Feb  4 14:00:01  2017,x,x,x
Sat Feb  4 14:15:01  2017,x,x,x
Sat Feb  4 14:30:01  2017,x,x,x
Sat Feb  4 14:45:01  2017,x,x,x
Sat Feb  4 15:00:01  2017,x,x,x
Sat Feb  4 15:15:01  2017,x,x,x
Sat Feb  4 15:30:01  2017,x,x,x
Sat Feb  4 15:45:01  2017,x,x,x
Sat Feb  4 16:00:01  2017,x,x,x
Sat Feb  4 16:15:01  2017,50.42 ,0.65 ,0.00 
